id_ingreso;nombre_ingreso;nombre_planta;producto;zona;tipo_ingreso;almacen_verano;almacen_invierno;cosecha_compra;mes_planificado;volumen
ing13;Cosecha Zona chillán;Nueva_aldea;EUNI;chillan;libre;alm9;alm10;cosecha;2;15000,0
ing13;Cosecha Zona chillán;Nueva_aldea;EUNI;chillan;libre;alm9;alm10;cosecha;3;15000,0
ing13;Cosecha Zona chillán;Nueva_aldea;EUNI;chillan;libre;alm9;alm10;cosecha;4;15000,0
ing13;Cosecha Zona chillán;Nueva_aldea;EUNI;chillan;libre;alm9;alm10;cosecha;5;9834,933333333334
ing13;Cosecha Zona chillán;Nueva_aldea;EUNI;chillan;libre;alm9;alm10;cosecha;6;9834,933333333334
ing13;Cosecha Zona chillán;Nueva_aldea;EUNI;chillan;libre;alm9;alm10;cosecha;7;9834,933333333334
ing13;Cosecha Zona chillán;Nueva_aldea;EUNI;chillan;libre;alm9;alm10;cosecha;8;18089,699999999997
ing13;Cosecha Zona chillán;Nueva_aldea;EUNI;chillan;libre;alm9;alm10;cosecha;9;18089,699999999997
ing13;Cosecha Zona chillán;Nueva_aldea;EUNI;chillan;libre;alm9;alm10;cosecha;10;18089,699999999997
ing13;Cosecha Zona chillán;Nueva_aldea;EUNI;chillan;libre;alm9;alm10;cosecha;11;28929,200000000004
ing13;Cosecha Zona chillán;Nueva_aldea;EUNI;chillan;libre;alm9;alm10;cosecha;12;28929,200000000004
ing13;Cosecha Zona chillán;Nueva_aldea;EUNI;chillan;libre;alm9;alm10;cosecha;13;28929,200000000004
ing13;Cosecha Zona chillán;Nueva_aldea;EUNI;chillan;libre;alm9;alm10;cosecha;14;0,0
ing13;Cosecha Zona chillán;Nueva_aldea;EUNI;chillan;libre;alm9;alm10;cosecha;15;0,0
ing13;Cosecha Zona chillán;Nueva_aldea;EUNI;chillan;libre;alm9;alm10;cosecha;16;0,0
ing14;Cosecha Zona Arauco;Nueva_aldea;EUNI;arauco;directo_planta;N_A;N_A;cosecha;1;0,0
ing14;Cosecha Zona Arauco;Nueva_aldea;EUNI;arauco;directo_planta;N_A;N_A;cosecha;2;0,0
ing14;Cosecha Zona Arauco;Nueva_aldea;EUNI;arauco;directo_planta;N_A;N_A;cosecha;3;0,0
ing14;Cosecha Zona Arauco;Nueva_aldea;EUNI;arauco;directo_planta;N_A;N_A;cosecha;4;0,0
ing14;Cosecha Zona Arauco;Nueva_aldea;EUNI;arauco;directo_planta;N_A;N_A;cosecha;5;0,0
ing14;Cosecha Zona Arauco;Nueva_aldea;EUNI;arauco;directo_planta;N_A;N_A;cosecha;6;0,0
ing14;Cosecha Zona Arauco;Nueva_aldea;EUNI;arauco;directo_planta;N_A;N_A;cosecha;7;0,0
ing14;Cosecha Zona Arauco;Nueva_aldea;EUNI;arauco;directo_planta;N_A;N_A;cosecha;8;0,0
ing14;Cosecha Zona Arauco;Nueva_aldea;EUNI;arauco;directo_planta;N_A;N_A;cosecha;9;0,0
ing14;Cosecha Zona Arauco;Nueva_aldea;EUNI;arauco;directo_planta;N_A;N_A;cosecha;10;0,0
ing14;Cosecha Zona Arauco;Nueva_aldea;EUNI;arauco;directo_planta;N_A;N_A;cosecha;11;0,0
ing14;Cosecha Zona Arauco;Nueva_aldea;EUNI;arauco;directo_planta;N_A;N_A;cosecha;12;0,0
ing14;Cosecha Zona Arauco;Nueva_aldea;EUNI;arauco;directo_planta;N_A;N_A;cosecha;13;0,0
ing14;Cosecha Zona Arauco;Nueva_aldea;EUNI;arauco;directo_planta;N_A;N_A;cosecha;14;0,0
ing14;Cosecha Zona Arauco;Nueva_aldea;EUNI;arauco;directo_planta;N_A;N_A;cosecha;15;0,0
ing14;Cosecha Zona Arauco;Nueva_aldea;EUNI;arauco;directo_planta;N_A;N_A;cosecha;16;0,0
